,oe__gender,oe__bachelors,ohe__master_AI,ohe__master_Data Engineer,ohe__master_MBA,ohe__master_None,remainder__etest_p,remainder__degree,remainder__year_exp,remainder__age,result
51,1,0,0,0,1,0,67,97,4,29,0
52,0,0,0,0,1,0,71.2,97,2,23,0
53,1,1,0,1,0,0,87,65,1,35,0
54,0,0,0,0,0,1,78,0,0,45,0
55,1,0,0,0,0,1,71,0,0,41,0
56,1,0,0,0,0,1,68,0,0,46,0
57,1,0,0,0,1,0,80,65,2,41,0
58,1,0,0,0,1,0,74,70,1,39,0
59,1,1,0,1,0,0,57.6,62,4,35,0
60,1,0,0,0,1,0,60,58,3,38,0
61,1,0,0,0,0,1,61.6,0,1,30,0
62,0,1,0,0,0,1,59,0,0,41,0
63,1,0,0,0,0,1,68.5,0,1,40,0
64,1,0,0,0,1,0,61,57,5,23,0
65,1,0,0,0,0,1,89.69,0,1,36,0
66,1,0,0,0,0,1,68.92,0,1,41,0
67,1,0,0,0,0,1,68.71,0,0,37,0
68,0,1,0,0,1,0,79,83,4,40,0
69,1,1,1,0,0,0,70,86,4,24,0
70,1,1,0,1,0,0,89,73,2,44,0
71,1,0,0,0,1,0,95,75,2,39,1
72,1,0,0,0,1,0,95.5,59,0,40,1
73,1,0,0,0,1,0,86,72,4,28,0
74,1,0,0,0,1,0,84.27,82,0,41,0
75,0,0,0,0,1,0,74,96,1,26,0
76,0,0,0,0,1,0,61,76,0,23,0
77,1,1,1,0,0,0,69,75,3,30,0
78,1,1,1,0,0,0,86.04,60,1,45,0
79,0,1,0,0,1,0,75,55,6,29,0
80,0,0,0,0,1,0,67,59,3,25,0
81,1,0,0,0,0,1,86,0,1,32,0
82,1,0,0,0,0,1,82,0,1,32,0
83,1,1,1,0,0,0,84,80,4,41,0
84,1,1,0,0,0,1,55,0,0,36,0
85,0,0,0,0,0,1,78.74,0,1,24,0
86,1,0,0,0,1,0,67,80,6,23,0
87,1,1,0,0,1,0,75,81,4,45,0
88,0,0,0,0,1,0,58,63,0,45,0
89,0,1,0,1,0,0,62,80,6,40,0
90,0,0,0,0,0,1,92,0,0,29,1
91,1,0,0,0,1,0,67,84,5,30,0
92,0,0,0,0,1,0,72,97,5,23,0
93,1,0,0,0,1,0,72,71,0,45,0
94,1,0,0,0,0,1,53.88,0,1,25,0
95,1,0,0,0,0,1,95.46,0,0,46,1
96,0,0,0,0,0,1,66,0,1,45,0
97,0,0,0,0,0,1,93.91,0,0,30,1
98,0,0,0,0,1,0,70,89,2,44,0
99,1,1,0,0,1,0,50,69,1,37,0
100,0,0,0,0,1,0,56.39,76,0,27,0
101,1,0,0,0,1,0,78,68,4,25,0
102,0,0,0,0,0,1,57.5,0,1,41,0
103,1,1,0,1,0,0,85,82,6,23,0
104,1,0,0,0,1,0,55,77,1,37,0
105,1,1,0,0,1,0,85,68,6,30,0
106,1,1,0,0,0,1,71,0,0,24,0
107,1,0,0,0,1,0,80,56,6,25,0
108,1,0,0,0,0,1,84,0,1,46,0
109,1,1,1,0,0,0,86,68,1,36,0
110,0,1,1,0,0,0,57.2,61,2,46,0
111,1,1,1,0,0,0,60,57,2,36,0
112,1,0,0,0,1,0,58,77,6,33,0
113,0,0,0,0,1,0,72.15,97,5,38,0
114,1,0,0,0,1,0,53.7,72,6,26,0
115,0,0,0,0,1,0,89,92,4,42,0
116,1,0,0,0,0,1,96,0,0,27,1
117,1,1,0,0,0,1,80,0,0,44,0
118,1,1,0,1,0,0,97,79,2,43,1
119,1,0,0,0,0,1,82.66,0,1,36,0
120,1,0,0,0,0,1,73,0,1,45,0
121,0,1,1,0,0,0,55.67,64,2,38,0
122,0,0,0,0,1,0,80.4,93,2,40,0
123,1,0,0,0,0,1,60,0,0,29,0
124,1,1,1,0,0,0,64,93,1,32,0
125,0,0,0,0,0,1,75,0,1,29,0
126,0,1,0,1,0,0,70,80,6,23,0
127,0,0,0,0,1,0,55.5,98,5,45,0
128,1,1,0,0,1,0,81.2,79,3,43,0
129,1,0,0,0,1,0,90,71,6,41,0
130,1,0,0,0,0,1,84,0,0,38,0
131,0,1,1,0,0,0,80,74,2,41,0
132,1,0,0,0,0,1,74.4,0,0,26,0
133,1,0,0,0,0,1,65,0,1,40,0
134,0,0,0,0,0,1,94,0,0,24,1
135,0,0,0,0,1,0,55.6,57,0,23,0
136,0,0,0,0,1,0,78,95,5,37,0
137,1,0,0,0,0,1,56,0,0,27,0
138,0,1,1,0,0,0,96,90,4,42,1
139,1,0,0,0,1,0,58,76,2,33,0
140,1,0,0,0,1,0,56,88,3,32,0
141,1,0,0,0,0,1,60,0,1,24,0
142,1,1,0,0,0,1,60,0,0,25,0
143,1,0,0,0,1,0,89,98,1,45,0
144,1,0,0,0,0,1,60,0,0,45,0
145,1,1,0,0,1,0,72,96,4,34,0
146,1,0,0,0,1,0,85,95,2,42,0
147,1,0,0,0,1,0,83,91,1,27,0
148,0,1,0,0,1,0,57,60,6,27,0
149,1,0,0,0,0,1,64.25,0,0,28,0
150,1,1,0,0,0,1,56,0,1,31,0
151,1,0,0,0,0,1,83,0,0,24,0
152,0,1,0,0,1,0,98,91,6,43,1
153,1,1,0,0,1,0,86,87,0,34,0
154,1,0,0,0,1,0,70,76,3,25,0
155,1,0,0,0,0,1,56.15,0,0,42,0
156,1,1,0,0,1,0,80,60,5,44,0
157,1,0,0,0,0,1,93.4,0,0,34,1
158,1,1,0,1,0,0,60,58,4,46,0
159,1,0,0,0,0,1,62,0,1,39,0
160,1,1,0,1,0,0,75,65,0,32,0
161,1,0,0,0,0,1,57.63,0,1,46,0
162,1,0,0,0,0,1,75.2,0,0,36,0
163,1,1,0,0,1,0,75,78,1,45,0
164,0,0,0,0,1,0,53.04,63,3,39,0
165,0,0,0,0,0,1,80,0,1,40,0
166,1,0,0,0,0,1,63,0,1,41,0
167,1,1,0,0,1,0,58.1,94,6,39,0
168,0,0,0,0,0,1,60,0,0,36,0
169,1,1,0,1,0,0,54.48,90,1,31,0
170,0,0,0,0,1,0,58.06,78,1,30,0
171,1,0,0,0,0,1,63.79,0,1,24,0
172,1,0,0,0,0,1,84,0,0,35,0
173,0,1,0,1,0,0,67,56,6,29,0
174,1,1,1,0,0,0,64,74,1,31,0
175,1,1,1,0,0,0,87.5,82,1,44,0
176,0,0,0,0,1,0,55,65,1,44,0
177,0,0,0,0,0,1,89,0,1,33,0
178,1,1,0,0,0,1,73,0,1,36,0
179,0,1,0,0,1,0,75.5,60,2,26,0
180,1,0,0,0,0,1,57,0,0,35,0
181,1,1,0,0,0,1,63,0,0,24,0
182,1,1,0,0,0,1,75,0,1,45,0
183,1,0,0,0,0,1,60,0,1,27,0
184,0,0,0,0,0,1,60,0,0,33,0
185,0,1,1,0,0,0,82,62,2,28,0
186,0,0,0,0,0,1,55,0,0,40,0
187,1,1,1,0,0,0,95,98,1,43,1
188,1,0,0,0,0,1,57,0,1,32,0
189,0,0,0,0,1,0,95.65,60,4,26,1
190,0,0,0,0,0,1,50,0,1,31,0
191,1,0,0,0,1,0,72,58,0,28,0
192,1,0,0,0,0,1,93.4,0,1,24,1
193,0,1,0,0,1,0,80,74,3,39,0
194,1,0,0,0,0,1,59,0,0,27,0
195,1,0,0,0,1,0,84,74,0,28,0
196,1,1,0,1,0,0,78,66,1,34,0
197,0,1,0,0,1,0,59.32,55,5,45,0
198,0,1,1,0,0,0,88,80,1,43,0
199,1,0,0,0,0,1,73,0,0,32,0
200,1,0,0,0,0,1,87.55,0,0,44,0
201,1,0,0,0,1,0,79,91,3,43,0
202,1,1,0,1,0,0,61.28,65,4,28,0
203,1,0,0,0,1,0,66,90,0,30,0
204,0,0,0,0,1,0,80,67,5,24,0
205,1,0,0,0,1,0,62,97,0,34,0
206,1,0,0,0,0,1,97,0,0,35,1
207,1,0,0,0,1,0,88.56,87,4,43,0
208,0,0,0,0,1,0,92.66,60,5,29,1
209,1,0,0,0,0,1,67,0,1,32,0
210,1,0,0,0,0,1,91,0,1,35,1
211,1,1,0,0,0,1,74,0,1,39,0
212,1,0,0,0,0,1,59,0,1,43,0
213,0,0,0,0,1,0,70,98,1,36,0
214,1,0,0,0,1,0,89,56,5,24,0
215,1,1,1,0,0,0,83.8686679414414,81.6986164268979,4.06583394257677,41.4995482964948,0
216,0,0,0,0,0,1,60.690891752254,0.821999678511553,0.0811448540129089,38.9144132160488,0
217,1,0,0,0,1,0,79.7568573036958,91.8353794482021,2.99566116919154,43.108354749077,0
218,1,1,0,0,0,1,74.7135719976259,0,1.09708974824352,44.7775408668175,0
219,0,1,0,0,1,0,63.4492040707138,85.557058316323,2.99966176581354,27.120924112788,0
220,0,0,0,0,1,0,81.4065955359291,67.675089731467,5.08348286418303,23.954439909737,0
221,1,0,0,0,1,0,66.0377842444726,85.2771844197774,4.90325580624302,30.1451839430957,0
222,1,1,1,0,0,0,93.6245218289367,59.5538105391529,0.987913247797316,42.0031113942834,1
223,0,0,0,0,0,1,92.4881004025517,0.295317981940272,0,29.0332545207398,1
224,1,1,0,0,1,0,85.6659127125693,85.5735549904334,0,33.3910600128491,0
225,0,1,0,0,1,0,75.0882605934759,58.6364731840683,1.89615073424735,26.934454920258,0
226,0,0,0,0,1,0,73.8125303787173,67.777956226295,2.9414143290482,43.6531258572721,0
227,1,0,0,0,0,1,61.2439763826041,2.7072005450685,0,28.1579635794426,0
228,0,1,0,1,0,0,67.4358169871199,52.79732868537,6.01531843952796,28.8242164703723,0
229,0,0,0,0,0,1,61.6084313334204,3.3757944390962,1.25635002244915,42.3673623635998,0
230,0,1,1,0,0,0,65.0591492656444,55.4596926859972,0.885689526558805,30.3621346237741,0
231,1,0,0,0,0,1,58.176148653771,1.7751353918156,0.0839446788220361,26.9747731913866,0
232,1,0,0,0,1,0,66.0955573458039,88.8875741954616,0,30.3131772815666,0
233,0,0,0,0,1,0,70.1254918001652,98.0422935636555,1.07000502563885,36.1178247935418,0
234,0,1,0,0,1,0,58.5831839762237,55.4612050364224,5.01884950807548,44.8319391435393,0
235,1,0,0,0,0,1,92.7109367272762,0,0.999138048676751,23.644248285934,1
236,0,0,0,0,0,1,62.6644358460503,3.11174901744148,0.947815896697334,42.0345469639383,0
237,0,0,0,0,0,1,94.8926002191091,0,0.127090653228716,40.1050208399241,1
238,1,0,0,0,1,0,64.5571088474179,61.390998825966,0.17503355201016,44.4650071294039,0
239,0,0,0,0,1,0,65.7103218286143,69.8422153800151,1.01492375115133,29.5716935210967,0
240,0,1,0,0,1,0,73.7481884514903,57.1691908898326,6.12630807580189,28.6796573898648,0
241,0,0,0,0,0,1,91.9987191009276,0,0.0135703513834333,29.1646831143905,1
242,0,0,0,0,0,1,50.7985875121193,0.0978872999053252,1.04360554941381,30.863683641186,0
243,1,0,0,0,1,0,80.847798255025,62.9543968332484,1.87694210366169,41.0689106107596,0
244,1,0,0,0,1,0,83.0545963847398,89.6385494696141,0.954487706205106,27.2882396415174,0
245,1,0,0,0,0,1,56.4076705255553,0,1.05761059670697,45.712637227755,0
246,1,1,1,0,0,0,96.3267674295052,96.1213672454585,1.17470446088163,42.1330713055711,1
247,1,1,1,0,0,0,93.2006088426426,56.7569524617385,0.968776582229254,43.2007130793918,1
248,1,0,0,0,1,0,89.1210557490266,100,1.09509079967332,45.0417362046091,0
249,1,0,0,0,0,1,64.4495189235245,0,0,33.0137156023558,0
250,1,0,0,0,0,1,90.1197774225114,0.535513980707568,0.986444728027116,36.3374266151888,0
251,1,0,0,0,1,0,90.0544514150667,71.0697432134094,5.88501475164697,40.8400071555026,0
252,1,0,0,0,0,1,95.3306197662995,0.119525583681168,0.182867474722772,27.4588430117244,1
253,1,0,0,0,0,1,63.8307294728924,0.883866471765661,1.11384328565981,24.3164587401803,0
254,0,0,0,0,1,0,71.4834203813153,91.9109002580254,0,24.8711821715905,0
255,1,0,0,0,1,0,88.8975194843232,52.284386171873,5.04091882574948,24.5411613605913,0
256,1,1,0,1,0,0,84.7670420948268,81.8508086387244,5.95398908175317,23.3845941764189,0
257,1,1,0,0,0,1,73.4914760018058,0.444247933239367,1.04544843967046,38.6154048302252,0
258,0,0,0,0,0,1,55.7366666803982,0,0.0165762630265577,40.1386510369236,0
259,1,1,0,1,0,0,97.9177380342192,80.2283113594799,1.85865681424222,42.9918056187757,1
260,0,0,0,0,1,0,75.6457651134636,72.6504796140578,4.11084288709535,33.8618111392366,0
261,1,0,0,0,0,1,59.1500882958297,0,0,26.3569126194444,0
262,1,1,0,1,0,0,61.1233564309333,67.451879294312,4.07781423903175,27.8726465786562,0
263,0,0,0,0,0,1,74.1010914543558,0,0.980367420441096,28.7771156929306,0
264,0,0,0,0,0,1,70.7023823385601,4.18759499285426,0,38.3357400502096,0
265,1,0,0,0,0,1,67.5425831766685,0,0,45.7259533724704,0
266,0,0,0,0,0,1,67.742704137938,0.55426011811517,0.102937496319774,42.496011512551,0
267,1,0,0,0,1,0,60.1172554115351,62.3941655792657,3.05714477652227,38.2018145763003,0
268,0,1,0,0,0,1,55.554640346878,1.23519538927453,0,23.4482294943601,0
269,1,0,0,0,0,1,61.3367532940489,6.17653977476697,1.02783108366772,41.2699006247985,0
270,0,1,0,0,1,0,64.0531085349017,88.7186852354804,3.02398655801207,27.6268551846966,0
271,1,0,0,0,0,1,52.8954185510705,0,1.05221477400249,24.6498673912913,0
272,1,0,0,0,0,1,97.3175491178743,0.555743530788244,0.121373086334666,34.7804943151695,1
273,1,1,1,0,0,0,55.3537508051944,87.8629427200634,3.92687250101628,22.8317988794454,0
274,1,0,0,0,0,1,61.9941925913879,0,0.0766118251390346,27.899507333058,0
275,0,0,0,0,1,0,74.5179209102987,64.6670142450726,3.07897799530222,42.8045792149988,0
276,0,0,0,0,1,0,51.9114521126554,77.3690975878864,2.0326812980368,42.6725318431074,0
277,0,0,0,0,1,0,69.6614371190357,89.3211802476898,1.9150806850033,43.6274135598822,0
278,0,0,0,0,1,0,50.9301797383381,74.8914885079237,2.0068004096926,42.6160003288104,0
279,1,1,0,0,0,1,59.8685272318943,0,0,24.7297213617649,0
280,0,1,0,0,1,0,64.7877877661932,84.6615238726571,2.97178724655938,27.8307766603258,0
281,1,1,1,0,0,0,85.9291970026973,58.3017883327856,0.909591024266119,44.7726801314477,0
282,1,1,0,0,0,1,74.0209119701468,0,1.08379899127617,38.9982349474451,0
283,0,0,0,0,1,0,65.9298649857361,55.6732065040909,3.03405712826557,25.3500721570238,0
284,1,1,0,1,0,0,88.6862320557278,75.6169818287856,1.90775065462584,44.0816381427761,0
285,1,0,0,0,0,1,69.0092946486441,3.74391748223859,1.17785228678477,41.1947366582509,0
286,1,0,0,0,0,1,90.1522667822381,2.45558647542175,1.14780966130686,34.0726742613987,1
287,0,0,0,0,1,0,70.9013625596081,95.7936178316421,1.03331970119708,36.0529830126717,0
288,1,0,0,0,0,1,59.5034216682767,3.44071677134424,0.872083093581377,27.030279521138,0
289,1,0,0,0,1,0,68.230278166624,65.909742695725,0.0429781205468202,44.3922796911494,0
290,0,1,0,0,0,1,57.9506428668977,0.818488248539805,0.00637186134705891,41.8043660026643,0
291,1,0,0,0,1,0,93.2743321789087,72.9366640477969,1.13906201447032,42.2771581145522,1
292,1,1,0,1,0,0,61.3723513786676,65.757775071467,3.87626972372948,28.3821892026832,0
293,1,0,0,0,1,0,95.1971976198174,73.7669851372268,1.96795714786083,39.1291732626549,1
294,0,0,0,0,1,0,58.7384246414514,76.837738857743,1.11642968283607,30.5588805470276,0
295,1,1,0,0,0,1,74.4393486722958,0,1.0705540800976,39.034673093692,0
296,0,0,0,0,0,1,95.3850690668743,0,0,39.8801861363236,1
297,0,0,0,0,1,0,74.2189654938065,63.0747790499899,3.07859330448603,43.0769695811266,0
298,0,1,0,0,1,0,78.43922331666,84.0882148195151,3.97346526468439,39.6705644592226,0
299,1,1,0,0,0,1,56.3519148063894,0,0.927962192407963,29.947849057905,0
300,1,0,0,0,1,0,94.9109078413671,72.7810883423472,1.08140179831546,41.6745333691453,1
301,0,0,0,0,1,0,77.2567221335633,91.2850033377022,5.0810235765285,37.4469393924786,0
302,0,0,0,0,1,0,69.848786853655,100,0.971585047303711,36.1473038631974,0
303,0,0,0,0,0,1,49.6876767348327,1.26697445999325,0.918050130807079,31.4557866455723,0
304,1,1,0,1,0,0,74.350041711351,66.2712284022573,0,32.0016395521926,0
305,1,0,0,0,1,0,60.3019731901594,57.5027194002838,3.02359030598412,37.6697011869797,0
306,0,0,0,0,1,0,56.9462486422501,77.9615014505269,0,27.0458902850435,0
307,1,0,0,0,1,0,59.5103818378597,85.326407065927,2.05184483117048,31.7651121125656,0
308,1,1,0,0,0,1,87.2120403458966,0,1.00775683130896,43.8199331933462,0
309,0,0,0,0,1,0,65.6326067354166,70.3933342470738,1.00756730846817,29.4540225735049,0
310,1,0,0,0,0,1,94.0040047510509,0,1.06265888424177,41.4710331342398,1
311,0,1,0,0,0,1,58.7909952601466,0,0.869974543362656,43.8256983185141,0
312,1,1,0,1,0,0,55.1668479438494,88.9784215899372,0.946026316885912,31.0267829266248,0
313,1,0,0,0,0,1,68.2537527098705,1.88553979460087,0.0240047314815053,46.1105741179651,0
314,1,1,1,0,0,0,92.3640709822275,55.4430270105363,1.02036885528863,43.1953136077907,1
315,1,0,0,0,0,1,67.8587846000881,0.894036531532329,1.00617457977153,32.2202126590358,0
316,1,1,0,1,0,0,75.4258890753894,64.3443340733523,0.00695126256667068,32.1119947214747,0
317,1,1,0,0,0,1,63.820838145568,0,0,24.3654895921352,0
318,0,0,0,0,0,1,71.6690113721411,0.858796233309317,0.0786768058280469,39.1112693414366,0
319,0,1,0,1,0,0,92.4039344378063,91.0375657871986,4.9643961326434,38.5711857378819,1
320,1,1,0,0,0,1,71.4848379718953,0,0,24.4007170723164,0
321,1,0,0,0,0,1,76.4877357080349,0.58842885328099,0.989509406994447,28.7502854308461,0
322,1,1,1,0,0,0,64.1536891564393,62.4756769724391,0.880930062256772,38.6872223906883,0
323,1,0,0,0,0,1,62.7569458913571,0.969377960971956,1.13109196431013,41.1343283024443,0
324,1,0,0,0,1,0,96.2963306535774,86.49175395724,1.90712805779939,30.0511603571813,1
325,1,0,0,0,1,0,71.6890778461955,69.4495135145832,0.0153561853376932,45.4686425148977,0
326,0,0,0,0,1,0,50.6270138270464,75.8851226170607,1.87343325910363,42.5482779743689,0
327,0,0,0,0,1,0,65.936121059421,68.0274687719811,0,39.2520292043465,0
328,0,0,0,0,0,1,78.6992318729898,0,1.09867579117996,23.4710517314959,0
329,1,0,0,0,1,0,68.1181260917065,70.0499196986671,0,44.2319172420695,0
330,1,0,0,0,0,1,56.7708798963283,1.25351806580165,1.00491482009202,45.2932161335935,0
331,1,0,0,0,1,0,53.8428745561389,75.2311038275004,1.02158066605926,38.1321529246549,0
332,1,0,0,0,1,0,67.6591382322972,80.8834286889312,5.10964646830868,29.8543442809869,0
333,1,0,0,0,0,1,73.5940422036886,0,0,36.0812316894733,0
334,1,1,1,0,0,0,55.3148593502043,85.5439665320005,3.90854694070038,23.0237851353781,0
335,1,0,0,0,1,0,57.7709735871173,76.3141734836508,1.79052751967707,32.6530728086237,0
336,0,1,0,0,0,1,58.0847951012407,0,0,41.0451106080682,0
337,1,1,0,1,0,0,98.2884960689851,81.5220565979474,2.12609591530643,42.9402473008959,1
338,1,1,0,0,0,1,74.6323132305806,0,1.0352026417181,44.8358008238202,0
339,0,0,0,0,1,0,72.7670574157902,97.2191256669544,5.17581314802781,38.2739057565613,0
340,1,0,0,0,0,1,96.6439097560612,0,0.0428053724408873,34.4395115383517,1
341,0,0,0,0,1,0,64.4642403335154,70.337171448107,1.01476025167048,29.4529230920989,0
342,0,1,1,0,0,0,88.3078140899115,79.5396975517342,0.87217095206271,42.9348349774499,0
343,0,0,0,0,1,0,69.6977588910245,94.1947247502198,0.931697609327787,35.6879835860519,0
344,1,0,0,0,0,1,65.7803205332112,0,1.1364899086193,40.4198649121572,0
345,1,1,1,0,0,0,66.739647283532,56.0417900345683,3.05184873917144,37.3953622408109,0
346,1,0,0,0,1,0,96.6434030958156,88.0457097120846,1.91268472518756,29.5726118216783,1
347,1,0,0,0,0,1,59.9261359823952,0,0.217282395235503,45.078858045648,0
348,0,0,0,0,0,1,57.4619549494565,0,1.05930270263061,40.8196648051558,0
349,1,0,0,0,1,0,53.3380653856795,54.757015916652,3.98173429944403,43.3134620884882,0
350,1,0,0,0,0,1,67.1032110520709,0.210495959441869,0.0681306346757677,45.6809304701308,0
351,1,0,0,0,1,0,62.7878010830878,58.4538028526299,0,43.6901616790905,0
352,1,1,1,0,0,0,59.4538874885266,55.1793735344878,1.95258722826916,35.8988311669312,0
353,1,0,0,0,0,1,64.9937152811319,0,1.13458816921669,23.9908334144451,0
354,0,1,0,0,0,1,59.906574502908,0,0,41.3189534898128,0
355,0,1,1,0,0,0,88.053097514864,78.9910336628814,1.04201042157211,42.4575788273434,0
356,0,1,0,0,1,0,63.6150483471388,84.1085440815076,2.9329561577548,27.5191356841206,0
357,1,0,0,0,0,1,84.6774495849419,3.32514339018536,0,38.0264525429168,0
358,1,1,1,0,0,0,53.9274666095111,85.3311509566367,3.89209393477,23.284367414513,0
359,0,0,0,0,1,0,71.5607326214768,92.9443879908997,0.0575147653460226,25.1517254123281,0
360,0,0,0,0,1,0,51.0187896695431,75.8508857793888,2.08541694522548,43.4502568668164,0
361,0,0,0,0,1,0,54.6632862617752,67.4947949876881,1.09877237180116,44.1198135136306,0
362,0,0,0,0,1,0,71.9462198735777,89.3016023974549,0.116139313741965,25.0024361988208,0
363,1,0,0,0,0,1,61.7397064631301,0,0.879866932892532,30.1248108114175,0
364,1,0,0,0,0,1,84.3381175679136,1.77790958175152,0.0171729888917847,38.1495087117577,0
365,1,1,0,0,0,1,68.6262303083123,1.42121424052679,1.04563221756421,22.3313767406385,0
366,0,1,0,0,0,1,55.0422539238831,0,0,23.8808993315059,0
367,0,0,0,0,1,0,56.875997311531,78.4849798941643,1.05765257679596,30.3441116302502,0
368,1,0,0,0,0,1,69.456699649834,0,1.11622494634635,41.0206126616212,0
369,1,0,0,0,1,0,54.9679191387831,79.1175440641027,1.15367964223971,36.4455457177589,0
370,0,1,0,1,0,0,62.6448675100928,79.5675235202543,5.86753148803249,40.3443209420434,0
371,1,0,0,0,1,0,90.0644818491974,69.1427669779699,6.08628935800879,40.0296184780339,0
372,1,1,1,0,0,0,85.4567487332673,62.0222950137041,0.837047341199916,44.6079899043642,0
373,1,1,0,1,0,0,86.9035179771838,65.4499008715683,0.946360222343739,34.9384356123147,0
374,0,0,0,0,1,0,66.5570441335741,61.2460151303019,3.04292565421414,24.9203797210885,0
375,1,0,0,0,1,0,72.2335913367602,59.9939813778585,0,27.8687586267315,0
376,1,1,0,0,0,1,54.7892598534677,0,0,35.7266596007486,0
377,1,1,0,0,1,0,74.6600323278681,82.8952660152093,3.95246750986332,44.9000012299933,0
378,1,1,0,1,0,0,90.199830149106,73.0069997022392,2.0310843953397,43.3088826665576,0
379,1,0,0,0,0,1,83.7103199552549,0,0,37.4577327972415,0
380,1,1,1,0,0,0,95.2549513667292,95.3635445143867,1.14840805132495,42.9018160999044,1
381,0,1,0,1,0,0,67.8606929604911,55.2322739284362,5.95233472896382,29.7084842197473,0
382,0,1,0,1,0,0,91.8287677168726,91.8004608049139,5.104122794025,39.0207557264859,1
383,0,1,0,1,0,0,91.866307205344,92.8500745687827,4.92611016380128,39.5760737995059,1
384,0,0,0,0,1,0,56.880380360924,61.7994641678602,0,45.1060143354832,0
385,0,0,0,0,0,1,79.7015765827869,1.02215794448936,1.00585979231964,24.2426538015153,0
386,1,0,0,0,0,1,62.5340168393277,3.13833807053488,1.02395760784772,38.7528435421131,0
387,1,0,0,0,0,1,58.1836087936217,0,1.06158016406369,32.2308511517941,0
388,1,1,0,0,0,1,71.118798491937,0,0,24.3803066168455,0
389,1,1,0,0,0,1,66.4462924489461,0,0.0684466349354176,41.545304642586,0
390,0,1,1,0,0,0,65.3386289108909,55.7967833769406,1.07054933319208,29.8631190797644,0
391,0,1,0,0,0,1,59.1799581686944,0,0.127608819916932,40.30731552475,0
392,0,1,0,1,0,0,70.3619302248602,81.0658170138994,6.00929850098879,23.2021593286492,0
393,1,0,0,0,1,0,53.8277167190748,56.7676597931249,3.93942259720793,43.5988104821513,0
394,1,0,0,0,0,1,63.5836407229073,0.627736088709977,0,27.7940016970308,0
395,1,0,0,0,0,1,89.3723602942989,2.46078905852589,0.986781766306869,35.8612361149793,0
396,0,0,0,0,1,0,92.0084329887659,60.2864790512847,4.96720636450836,28.9018678643202,1
397,1,0,0,0,0,1,85.1601072976365,2.78565665607939,0.881062076691959,31.6127412550169,0
398,0,0,0,0,0,1,57.9202248663299,1.87126337981103,0.964839884132231,40.3014574442732,0
399,1,0,0,0,1,0,58.3432952008308,83.1393386722825,2.06075062889081,32.6690327123273,0
400,0,1,0,0,1,0,78.869427516479,82.127851260221,4.02687110723672,40.0731395609636,0
401,0,0,0,0,1,0,67.0786304747059,61.7627326938353,2.99051797857954,24.7410268007008,0
402,1,0,0,0,0,1,94.1355858600973,0,0,34.371143348688,1
